DATE,PCEPI_previous,CCI_previous,Retails_previous,CPI_previous,PCEPI,CCI,Retails,CPI,PCEPI_label,CCI_label,Retails_label,CPI_label
2010-1-1,0.020903082,0.10782,0.048934614,0.027213311,0.023014281,0.12003,0.032229227,0.026257086,1,1,0,1
2010-2-1,0.023014281,0.12003,0.032229227,0.026257086,0.021163341,0.05028,0.036948436,0.021433318,1,1,0,1
2010-3-1,0.021163341,0.05028,0.036948436,0.021433318,0.023727578,0.00833,0.081091345,0.023139594,1,1,1,1
2010-4-1,0.023727578,0.00833,0.081091345,0.023139594,0.022815602,-0.02719,0.085462546,0.022364472,1,0,1,1
2010-5-1,0.022815602,-0.02719,0.085462546,0.022364472,0.022075339,-0.0506,0.064428113,0.020209861,1,0,1,1
2010-6-1,0.022075339,-0.0506,0.064428113,0.020209861,0.015618853,-0.04949,0.042214787,0.01053349,0,0,0,0
2010-7-1,0.015618853,-0.04949,0.042214787,0.01053349,0.016382637,-0.07958,0.042370922,0.012351928,0,0,0,0
2010-8-1,0.016382637,-0.07958,0.042370922,0.012351928,0.014829969,-0.01938,0.027133903,0.011481046,0,0,0,0
2010-9-1,0.014829969,-0.01938,0.027133903,0.011481046,0.014192128,0.00334,0.063272133,0.011436827,0,1,1,0
2010-10-1,0.014192128,0.00334,0.063272133,0.011436827,0.013579765,0.05365,0.06492106,0.011721876,0,1,1,0
2010-11-1,0.013579765,0.05365,0.06492106,0.011721876,0.013072652,0.11309,0.068704655,0.011431609,0,1,1,0
2010-12-1,0.013072652,0.11309,0.068704655,0.011431609,0.014767711,0.06884,0.06878439,0.014957235,0,1,1,0
2011-1-1,0.014767711,0.06884,0.06878439,0.014957235,0.015595503,-0.01234,0.078034635,0.016318469,0,0,1,0
2011-2-1,0.015595503,-0.01234,0.078034635,0.016318469,0.018459279,-0.10422,0.084509507,0.021075846,0,0,1,1
2011-3-1,0.018459279,-0.10422,0.084509507,0.021075846,0.02111437,-0.25884,0.06963225,0.026816033,1,0,1,1
2011-4-1,0.02111437,-0.25884,0.06963225,0.026816033,0.024871247,-0.16804,0.066446611,0.031636309,1,0,1,1
2011-5-1,0.024871247,-0.16804,0.066446611,0.031636309,0.027667901,-0.0233,0.075090937,0.035686458,1,0,1,1
2011-6-1,0.027667901,-0.0233,0.075090937,0.035686458,0.027888863,-0.1064,0.084702707,0.035588283,1,0,1,1
2011-7-1,0.027888863,-0.1064,0.084702707,0.035588283,0.028754027,-0.29602,0.081553835,0.03628716,1,0,1,1
2011-8-1,0.028754027,-0.29602,0.081553835,0.03628716,0.029759231,-0.35648,0.078384918,0.037712082,1,0,1,1
2011-9-1,0.029759231,-0.35648,0.078384918,0.037712082,0.030188876,-0.15328,0.079405149,0.038683568,1,0,1,1
2011-10-1,0.030188876,-0.15328,0.079405149,0.038683568,0.02694128,0.019,0.07417104,0.035251999,1,1,1,1
2011-11-1,0.02694128,0.019,0.07417104,0.035251999,0.027001775,0.16312,0.065779798,0.033943776,1,1,1,1
2011-12-1,0.027001775,0.16312,0.065779798,0.033943776,0.025262831,0.23307,0.061029588,0.029624188,1,1,1,1
2012-1-1,0.025262831,0.23307,0.061029588,0.029624188,0.025693189,0.26252,0.061695707,0.029206759,1,1,1,1
2012-2-1,0.025693189,0.26252,0.061695707,0.029206759,0.025127439,0.18931,0.067727286,0.028710988,1,1,1,1
2012-3-1,0.025127439,0.18931,0.067727286,0.028710988,0.022965045,0.08794,0.061276837,0.026513982,1,1,1,1
2012-4-1,0.022965045,0.08794,0.061276837,0.026513982,0.019998366,-0.00168,0.049914088,0.023027398,0,0,1,1
2012-5-1,0.019998366,-0.00168,0.049914088,0.023027398,0.015762784,-0.04019,0.049262753,0.017042538,0,0,1,0
2012-6-1,0.015762784,-0.04019,0.049262753,0.017042538,0.015460453,-0.11571,0.030570843,0.016639938,0,0,0,0
2012-7-1,0.015460453,-0.11571,0.030570843,0.016639938,0.014102264,-0.08219,0.036669567,0.014084507,0,0,0,0
2012-8-1,0.014102264,-0.08219,0.036669567,0.014084507,0.015124158,-0.02164,0.047217548,0.01692379,0,0,1,0
2012-9-1,0.015124158,-0.02164,0.047217548,0.01692379,0.016774207,0.03621,0.046234978,0.019912821,0,1,1,0
2012-10-1,0.016774207,0.03621,0.046234978,0.019912821,0.019772094,0.06726,0.040431244,0.021623436,0,1,0,1
2012-11-1,0.019772094,0.06726,0.040431244,0.021623436,0.016992156,0.01178,0.038854408,0.017641338,0,1,0,0
2012-12-1,0.016992156,0.01178,0.038854408,0.017641338,0.016255152,-0.04606,0.042156549,0.017410224,0,0,0,0
